jurisdiction;ipc_class;applicant_name;app_count;rank;ipc_class_description;jurisdiction_description
CN;A61H;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;271;4;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;SHENZHEN BREO TECHNOLOGY CO., LTD.;232;5;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;FUTURE WEARING HEALTH TECHNOLOGY CO., LTD.;230;6;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;JILIN UNIVERSITY;228;7;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;SHANGHAI RONGTAI HEALTH TECHNOLOGY CORPORATION LIMITED;227;8;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;HENAN XIANGYU MEDICAL EQUIPMENT CO., LTD.;225;9;Physical Therapy Apparatus;China (CNIPA)
CN;A61H;SICHUAN TRINIDAD ELECTRONIC EQUIPMENT CO., LTD.;203;10;Physical Therapy Apparatus;China (CNIPA)
CN;A61J;UNION HOSPITAL, TONGJI MEDICAL COLLAGE, HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY;125;1;Containers for Medicines;China (CNIPA)
CN;A61J;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;119;2;Containers for Medicines;China (CNIPA)
CN;A61J;WEST CHINA HOSPITAL, SICHUAN UNIVERSITY;111;3;Containers for Medicines;China (CNIPA)
CN;A61J;JILIN UNIVERSITY;108;4;Containers for Medicines;China (CNIPA)
CN;A61J;THE FIRST HOSPITAL OF JILIN UNIVERSITY;106;5;Containers for Medicines;China (CNIPA)
CN;A61J;ZHEJIANG UNIVERSITY;104;6;Containers for Medicines;China (CNIPA)
CN;A61J;ZHEJIANG HOUDAR AUTOMATION SYSTEM CO., LTD.;97;7;Containers for Medicines;China (CNIPA)
CN;A61J;WUHAN UNIVERSITY;83;8;Containers for Medicines;China (CNIPA)
CN;A61J;ZHENGZHOU CHILDREN'S HOSPITAL, HENAN CHILDREN'S HOSPITAL;74;9;Containers for Medicines;China (CNIPA)
CN;A61J;THE SIXTH MEDICAL CENTER OF PLA GENERAL HOSPITAL;73;10;Containers for Medicines;China (CNIPA)
CN;A61K40;CHINA PHARMACEUTICAL UNIVERSITY;71;1;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;SHANGHAI INSTITUTE OF MATERIA MEDICA, CHINESE ACADEMY OF SCIENCES;50;2;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;SHENYANG PHARMACEUTICAL UNIVERSITY;40;3;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;SICHUAN UNIVERSITY;39;4;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;INSTITUTE OF MATERIA MEDICA, CHINESE ACADEMY OF MEDICAL SCIENCES;35;5;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;SHENZHEN CHIPSCREEN BIOSCIENCES CO., LTD.;30;6;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;INSTITUTE OF MILITARY MEDICINE, ACADEMY OF MILITARY SCIENCES OF PLA;29;7;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;WEST CHINA HOSPITAL, SICHUAN UNIVERSITY;29;7;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;SHANDONG UNIVERSITY;28;8;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;Fudan University;28;8;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;ZHEJIANG UNIVERSITY;27;9;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61K40;GUANGDONG HEC PHARMACEUTICAL CO., LTD.;22;10;Medicinal Preparations (Drug Delivery);China (CNIPA)
CN;A61L;SICHUAN UNIVERSITY;502;1;Sterilisation, Disinfection;China (CNIPA)
CN;A61L;HAIER SMART HOME CO., LTD.;473;2;Sterilisation, Disinfection;China (CNIPA)
CN;A61L;NINGBO FOTILE KITCHEN WARE CO., LTD.;389;3;Sterilisation, Disinfection;China (CNIPA)
CN;A61L;ZHEJIANG UNIVERSITY;307;4;Sterilisation, Disinfection;China (CNIPA)
CN;A61L;JILIN UNIVERSITY;238;5;Sterilisation, Disinfection;China (CNIPA)
CN;A61L;SOUTH CHINA UNIVERSITY OF TECHNOLOGY;203;6;Sterilisation, Disinfection;China (CNIPA)
CN;A61L;SHANDONG SHINVA MEDICAL INSTRUMENT CO., LTD.;199;7;Sterilisation, Disinfection;China (CNIPA)
CN;A61L;GREE ELECTRIC APPLIANCES,INC.OF ZHUHAI;185;8;Sterilisation, Disinfection;China (CNIPA)
CN;A61L;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;184;9;Sterilisation, Disinfection;China (CNIPA)
CN;A61L;MIDEA GROUP CO., LTD.;169;10;Sterilisation, Disinfection;China (CNIPA)
CN;A61M;THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY;866;1;Devices for Introducing Media;China (CNIPA)
CN;A61M;ZHEJIANG UNIVERSITY;843;2;Devices for Introducing Media;China (CNIPA)
CN;A61M;WEST CHINA HOSPITAL, SICHUAN UNIVERSITY;817;3;Devices for Introducing Media;China (CNIPA)
CN;A61M;UNION HOSPITAL, TONGJI MEDICAL COLLAGE, HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY;781;4;Devices for Introducing Media;China (CNIPA)
CN;A61M;BECTON, DICKINSON AND COMPANY;650;5;Devices for Introducing Media;China (CNIPA)
CN;A61M;THE FIRST HOSPITAL OF JILIN UNIVERSITY;577;6;Devices for Introducing Media;China (CNIPA)
CN;A61M;JILIN UNIVERSITY;548;7;Devices for Introducing Media;China (CNIPA)
CN;A61M;JIANGSU PROVINCE HOSPITAL (THE FIRST AFFILIATED HOSPITAL WITH NANJING MEDICAL UNIVERSITY);505;8;Devices for Introducing Media;China (CNIPA)
CN;A61M;THE SECOND AFFILIATED HOSPITAL, ARMY MEDICAL UNIVERSITY OF PLA;458;9;Devices for Introducing Media;China (CNIPA)
CN;A61M;AIR FORCE MEDICAL UNIVERSITY OF PLA;449;10;Devices for Introducing Media;China (CNIPA)
CN;A61N;SKG TECHNOLOGY CO., LTD.;491;1;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;A61N;Shenzhen Accompany Tech Co., Ltd.;220;2;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;A61N;HENAN XIANGYU MEDICAL EQUIPMENT CO., LTD.;203;3;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;A61N;OUR UNITED CORP.;181;4;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;A61N;FUTURE WEARING HEALTH TECHNOLOGY CO., LTD.;177;5;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;A61N;MEDTRONIC, INC.;167;6;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;A61N;HEYE HEALTH TECHNOLOGY CO., LTD.;161;7;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;A61N;GUANGDONG HUAZHI BEAUTY TECHNOLOGY CO., LTD.;155;8;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;A61N;SHANGHAI UNITED IMAGING HEALTHCARE CO., LTD.;144;9;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;A61N;JIANGSU HEALTHY LIFE INNOVATION MEDICAL TECHNOLOGY CO., LTD.;116;10;Electrotherapy, Magnetotherapy;China (CNIPA)
CN;G16H;PING AN TECHNOLOGY (SHENZHEN) CO., LTD.;577;1;Healthcare Informatics;China (CNIPA)
CN;G16H;ZHEJIANG UNIVERSITY;382;2;Healthcare Informatics;China (CNIPA)
CN;G16H;WEST CHINA HOSPITAL, SICHUAN UNIVERSITY;319;3;Healthcare Informatics;China (CNIPA)
CN;G16H;KANGJIAN INFORMATION TECHNOLOGY (SHENZHEN) CO., LTD.;276;4;Healthcare Informatics;China (CNIPA)
CN;G16H;BEIJING JINGDONG TUOXIAN TECHNOLOGY CO., LTD.;224;5;Healthcare Informatics;China (CNIPA)
CN;G16H;SICHUAN UNIVERSITY;184;6;Healthcare Informatics;China (CNIPA)
CN;G16H;TENCENT TECHNOLOGY (SHENZHEN) CO., LTD.;180;7;Healthcare Informatics;China (CNIPA)
CN;G16H;TSINGHUA UNIVERSITY;178;8;Healthcare Informatics;China (CNIPA)
CN;G16H;PING AN INTERNATIONAL SMART CITY TECHNOLOGY CO., LTD.;176;9;Healthcare Informatics;China (CNIPA)
CN;G16H;SHANDONG UNIVERSITY;172;10;Healthcare Informatics;China (CNIPA)
CN;G16H;KONINKLIJKE PHILIPS N.V.;172;10;Healthcare Informatics;China (CNIPA)
CN;H05G;ASML NETHERLANDS B.V.;61;1;X-ray Technique;China (CNIPA)
CN;H05G;SUZHOU BOSIDE ELECTRIC CO., LTD.;31;2;X-ray Technique;China (CNIPA)
CN;H05G;SIEMENS HEALTHCARE GMBH;18;3;X-ray Technique;China (CNIPA)
CN;H05G;TSINGHUA UNIVERSITY;13;4;X-ray Technique;China (CNIPA)
CN;H05G;SHANGHAI UNITED IMAGING HEALTHCARE CO., LTD.;12;5;X-ray Technique;China (CNIPA)
CN;H05G;NUCTECH CO., LTD.;12;5;X-ray Technique;China (CNIPA)
CN;H05G;ASML荷兰有限公司;11;6;X-ray Technique;China (CNIPA)
CN;H05G;UNICOMP TECHNOLOGY CO., LTD.;11;6;X-ray Technique;China (CNIPA)
CN;H05G;KONINKLIJKE PHILIPS N.V.;10;7;X-ray Technique;China (CNIPA)
CN;H05G;HAMAMATSU PHOTONICS K.K.;9;8;X-ray Technique;China (CNIPA)
CN;H05G;HAINING JINGYI ELECTRONICS CO., LTD.;8;9;X-ray Technique;China (CNIPA)
CN;H05G;X-RAY VACUUM TECHNOLOGY (SUZHOU) CO., LTD.;8;9;X-ray Technique;China (CNIPA)
CN;H05G;Beijing Aili Technology Co., Ltd.;8;9;X-ray Technique;China (CNIPA)
CN;H05G;SIPAIMAN ELECTRONIC TECHNOLOGY (SUZHOU INDUSTRIAL PARK) CO., LTD.;8;9;X-ray Technique;China (CNIPA)
CN;H05G;ASML DUTCH CO., LTD.;8;9;X-ray Technique;China (CNIPA)
CN;H05G;INSTITUTE OF APPLIED ELECTRONICS, CHINA ACADEMY OF ENGINEERING PHYSICS;7;10;X-ray Technique;China (CNIPA)
DE;A61B;SIEMENS HEALTHCARE GMBH;545;1;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61B;Karl Storz SE & Co. KG;282;2;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61B;SIEMENS HEALTHINEERS AG;223;3;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61B;CARL ZEISS MEDITEC AG;192;4;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61B;OLYMPUS WINTER & IBE GMBH;183;5;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61B;Aesculap AG;182;6;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61B;Robert Bosch Gesellschaft mit beschränkter Haftung;108;7;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61B;OMRON HEALTHCARE CO., LTD.;100;8;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61B;KONINKLIJKE PHILIPS N.V.;86;9;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61B;GYRUS ACMI, INC. D/B/A OLYMPUS SURGICAL TECHNOLOGIES AMERICA;84;10;Diagnosis, Surgery, Identification;Germany (DPMA)
DE;A61C;epitome GmbH;27;1;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;Kulzer GmbH;14;2;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;Ivoclar Vivadent AG;13;3;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;Aesculap AG;12;4;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;Zebris Medical GmbH;11;5;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;EXOCAD GMBH;10;6;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;KIEFER, INGE;8;7;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;MINEBEA MITSUMI INC.;7;8;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG EINGETRAGENER VEREIN;6;9;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;MEDENTIS MEDICAL GMBH;5;10;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;Technische Universität Dresden, Körperschaft des öffentlichen Rechts;5;10;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;BEGO IMPLANT SYSTEMS GMBH & CO. KG;5;10;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61C;SHANGHAI SMARTEE DENTI-TECHNOLOGY CO., LTD.;5;10;Dentistry, Oral Hygiene;Germany (DPMA)
DE;A61F;CARL ZEISS MEDITEC AG;169;1;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61F;SCHWIND EYE-TECH-SOLUTIONS GMBH;103;2;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61F;OTTO BOCK HEALTHCARE PRODUCTS GMBH;61;3;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61F;Aesculap AG;60;4;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61F;OTTOBOCK SE & CO. KGAA;48;5;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61F;Acandis GmbH;28;6;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61F;Paul Hartmann AG;27;7;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61F;BIOTRONIK AG;24;8;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61F;Bauerfeind AG;19;9;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61F;FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG EINGETRAGENER VEREIN;15;10;Filters, Protheses, Orthotics;Germany (DPMA)
DE;A61G;SIEMENS HEALTHCARE GMBH;24;1;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;DIETZ GMBH;15;2;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Volkswagen Aktiengesellschaft;14;3;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;SIEMENS HEALTHINEERS AG;13;4;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Schaller, Manuela;10;5;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;DEWERTOKIN GMBH;10;5;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Wilpers, Angelika;10;5;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;MAQUET GMBH;9;6;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Hyundai Motor Company;9;6;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Hellstern medical GmbH;9;6;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Stollenwerk und Cie. Fabrik für Sanitätsausrüstungen Gesellschaft mit beschränkter Haftung;7;7;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;GM Global Technology Operations LLC;7;7;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;KIA CORPORATION;7;7;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;BROSE FAHRZEUGTEILE SE & CO. KOMMANDITGESELLSCHAFT, BAMBERG;6;8;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Hermann Bock GmbH;6;8;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;OTTO BOCK MOBILITY SOLUTIONS GMBH;5;9;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Toyota Jidosha Kabushiki Kaisha;5;9;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;ALBER GMBH;5;9;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Ford Global Technologies, LLC;5;9;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Optiplan Gesellschaft für optische Planungsgeräte mit beschränkter Haftung;5;9;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Condor Medtec GmbH;5;9;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;AAT ALBER ANTRIEBSTECHNIK GMBH;5;9;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;HAWE HYDRAULIK SE;5;9;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;Robert Bosch Gesellschaft mit beschränkter Haftung;4;10;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;DE WERTH GROUP AG;4;10;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;SUNRISE MEDICAL GMBH;4;10;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;MINEBEA MITSUMI INC.;4;10;Transport, Personal Conveyances;Germany (DPMA)
DE;A61G;STIEGELMEYER GMBH & CO. KG;4;10;Transport, Personal Conveyances;Germany (DPMA)
DE;A61H;DIETZ GMBH;24;1;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Mercedes-Benz Group AG;14;2;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Volkswagen Aktiengesellschaft;12;3;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Jtekt Corporation;7;4;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;WU, JUNPENG;7;4;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;OTTO BOCK HEALTHCARE PRODUCTS GMBH;7;4;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;REACTIVE ROBOTICS GMBH;6;5;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Toyota Jidosha Kabushiki Kaisha;6;5;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Gentherm Präzision SE;6;5;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;DRÄGERWERK AG & CO. KGAA;5;6;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;DAIMLER AG;5;6;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Bayerische Motoren Werke Aktiengesellschaft;5;6;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;FUN FACTORY GMBH;4;7;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;LIEBSCHER-BRACHT, ROLAND;4;7;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;MERLAKU, KASTRIOT;4;7;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;STRAUSS, THOMAS;4;7;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;GALINKER, EDUARD;4;7;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;WEINMANN EMERGENCY MEDICAL TECHNOLOGY GMBH + CO. KG;4;7;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;HYTTO PTE. LTD.;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;The Second Hospital of Jiaxing;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;CtR Intellectual Property Co., Limited;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Lear Corporation;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;MIKELSONS, YVES;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;TAIWAN OASIS TECHNOLOGY CO., LTD.;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;TANNHÄUSER, GUNTER;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;EIS GMBH;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Hyundai Motor Company;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Raak, Jürgen;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;LR HEALTH & BEAUTY SYSTEMS GMBH;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Haass, Peter;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;TAIWAN OASIS TECHNOLOGY CO.,LTD.;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;WU, DONG-HER;3;8;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;fair2feet, Institut für Qualität und Zertifizierung UG (haftungsbeschränkt);2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;DATHERA CONSUMER HEALTH GMBH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Löwenstein Medical Technology S.A.;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;OT Supply GmbH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;FJORDBLINK MEDICAL APS;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Rusche, Arno Gerhard;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;MEDLIGHT GMBH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;HYUNDAI TRANSYS INC.;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;GBS German Bionic Systems GmbH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;LIU, Po-Chan;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;MOSLER, LÜDER;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Something High Electric (Xiamen) Company Inc.;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;UNIVERSITÄTSMEDIZIN DER JOHANNES GUTENBERG-UNIVERSITÄT MAINZ;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Dongguan Mimao Electronic Technology Co., Ltd.;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;DÜRRSCHNABEL, Lutz;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;GROHE AG;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Fit- & Wellness Concept GmbH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Storz Medical AG;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;FORSCHUNGSGEMEINSCHAFT WERKZEUGE und WERKSTOFFE E.V. FGW;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Bert Wilden New Trends GmbH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;BIBOTING INTERNATIONAL CO., LTD.;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;BIBOTING TRADING (SHANGHAI) CO., LTD;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Fishman, Viktor;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Grbic, Svetozar;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Lahrmann, Klaus;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;CO12 GmbH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;German Bionic Systems GmbH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Shenzhen Zhonghongtian Technology Co., Ltd.;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Menger, Jörn;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Brose Fahrzeugteile SE & Co. Kommanditgesellschaft, Coburg;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;STEETS GMBH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Alfmeier Präzision SE;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;HEMI GmbH;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;HOLSTEIN, REINHOLD;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;PLESON (HK) TECHNOLOGY LIMITED;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;KIA CORPORATION;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;BIBOTING INTERNATIONAL CO., LTD;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Hu, Siyuan;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Bauerfeind AG;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Hölscher, Christopher;2;9;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;SIEMENS HEALTHCARE GMBH;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Dongguan Qianhe Electronic Technology CO., LTD.;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Bosnjak, Ivanka;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Bach, Harald;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;GAO, Run Ze;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;VIBR. GMBH;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;DCC TECHNOLOGY CO., LTD.;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;SCHMITT, THOMAS;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;ZOUHRI, AISSA;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;HAMILTON MEDICAL AG;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Lütfrink, Mike;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;SPANSET INTER AG;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Anton Reck e.K.;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Halfbrodt, Fred;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;becorp GmbH;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Rickert, Marcus;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Malke, Florian;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;HYBRID REALITY GMBH;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;DING, LI;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Vaishnav, Prashant;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Joksimovic, Zoran;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Nanjing Ruixiang Information Technology Co., Ltd.;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;TANRIVERDI, RASIT;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;PREISLER, BENEDIKT;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Sollux Lighting SP.J.;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Akula, Bernhard;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Möhring- von Kuhlberg, Nicola;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Kaiser, Franz Josef;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;IREST HEALTH SCIENCE AND TECHNOLOGY CO., LTD;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Toyota Boshoku Kabushiki Kaisha;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Hemovent GmbH;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Armadillion GmbH;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Hillmann, Tobias;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;GOTTSCHALK, HELMUT;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;MEDICA - MEDIZINTECHNIK GMBH;1;10;Physical Therapy Apparatus;Germany (DPMA)
DE;A61H;Schwarz, Christian Georg;1;10;Physical Therapy Apparatus;Germany (DPMA)
