Applicant_Name,Harmonised_Name,Siemens_Group,Patent_Family_ID,Filing_Year,Person_ID,PSN_Sector,Sector
SIEMENS,SIEMENS,Siemens AG,7646799,2000,182238,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,7646799,2000,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,7646799,2000,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,7646799,2000,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,7646799,2000,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,8178973,2001,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,8178973,2001,5210496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,8178973,2001,5666955,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENE,VOITHSIEMENSHYDROPOWERGENE,Voith Siemens (JV),32042547,2002,19509004,UNKNOWN,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,14881937,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,7233462,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,7233462,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,7233463,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,25599930,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,16833374,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,16833374,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,153793,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,5995230,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,1477381,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,13023443,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,13023443,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,13023443,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,13023443,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,15427167,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,15447554,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATION & COMPANY,VOITHSIEMENSHYDROPOWERGENERATION,Voith Siemens (JV),32042547,2002,15447554,COMPANY,Company
VOITH SIEMENS HYDRO POWER GENERATIONAND CO.KG,VOITHSIEMENSHYDROPOWERGENERATIONAND,Voith Siemens (JV),32042547,2002,49088629,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,34924991,2004,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,36216828,2005,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,36216828,2005,5666955,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,37886822,2005,5666955,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,8615280,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,9253177,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,7322095,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,7322095,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,7322095,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,7322095,COMPANY,Company
SIEMENS VAI METALS TECHNOLOGIES & COMPANY,SIEMENSVAIMETALSTECHNOLOGY,Siemens VAI (JV),34916826,2004,20051271,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,5218147,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40386307,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,5218147,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40775723,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,64032488,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,48889729,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5218147,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5218147,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5210496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,40933827,2008,56496527,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42102296,2008,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42102296,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42102296,2008,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42263146,2010,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42263146,2010,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42270031,2010,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42270031,2010,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42664644,2009,77496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42664644,2009,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,42664644,2009,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,43989811,2010,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,43989811,2010,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,44168190,2010,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,44168190,2010,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,44168190,2010,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,44168190,2010,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45218991,2011,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45491535,2011,53237871,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45491535,2011,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45491535,2011,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45491535,2011,56496527,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45491535,2011,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45491535,2011,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45491535,2011,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45491535,2011,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,45491535,2011,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,46935647,2011,5217560,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,46935647,2011,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,46935647,2011,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,46935647,2011,220,COMPANY,Company
BSH (BOSCH UND SIEMENS HAUSGERAETE),BSHBOSCHUNDSIEMENSHAUSGERAETE,BSH (Bosch/Siemens JV),50878671,2012,40996250,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,47633033,2012,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,47633033,2012,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,47633033,2012,6430744,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,47633033,2012,56496527,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,47633033,2012,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,47633033,2012,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,47633033,2012,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48050677,2012,5210496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48050677,2012,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48050677,2012,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48050677,2012,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48446145,2013,48889729,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48446145,2013,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48446145,2013,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48446145,2013,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48446145,2013,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48446145,2013,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48446145,2013,5214747,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48746461,2012,5210496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48746461,2012,220,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48746461,2012,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48746461,2012,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,48746461,2012,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,49290246,2012,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,53496697,2014,5210496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,53496697,2014,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,53496697,2014,56496527,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,53496697,2014,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,53496697,2014,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,53496697,2014,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,55083391,2015,65578589,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,55083391,2015,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,55083391,2015,5210496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,55083391,2015,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,55083391,2015,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,55083391,2015,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,55083391,2015,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,55083391,2015,56496527,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,56296812,2015,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,56296812,2015,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,56296812,2015,5217560,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,57956257,2016,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,57956257,2016,5210496,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,57956257,2016,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,57956257,2016,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,57956257,2016,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,57956257,2016,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,57956257,2016,56496527,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,59220535,2017,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,59745884,2016,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,59745884,2016,5214747,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,59745884,2016,63195986,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,59745884,2016,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,59745884,2016,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,59745884,2016,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,60452521,2017,59918565,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,60452521,2017,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,60452521,2017,69649035,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,60452521,2017,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,61094410,2017,55686862,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,61094410,2017,5214747,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,61094410,2017,69649035,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,61094410,2017,63195986,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,61094410,2017,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,61094410,2017,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,61094410,2017,5238080,COMPANY,Company
SIEMENS,SIEMENS,Siemens AG,61094410,2017,5238080,COMPANY,Company
SIEMENS ENERGY GLOBAL & COMPANY,SIEMENSENERGY,Siemens Energy,55083391,2015,79657292,COMPANY,Company
SIEMENS ENERGY GLOBAL & COMPANY,SIEMENSENERGY,Siemens Energy,56296812,2015,78238310,COMPANY,Company
SIEMENS ENERGY GLOBAL & COMPANY,SIEMENSENERGY,Siemens Energy,56296812,2015,79180144,COMPANY,Company
